排名,学校中文名,学校英文名,省份,类型,总分,标签
138,长春理工大学,Changchun University of Science and Technology,吉林,理工,230.6,
139,华侨大学,Huaqiao University,福建,综合,229.8,
140,山东科技大学,Shandong University of Science and Technology,山东,理工,226.4,
141,江苏科技大学,Jiangsu University of Science and Technology,江苏,理工,224.9,
142,上海海洋大学,Shanghai Ocean University,上海,农业,222.5,双一流
143,安徽农业大学,Anhui Agricultural University,安徽,农业,222,
144,中北大学,North University of China,山西,理工,221.5,
145,安徽师范大学,Anhui Normal University,安徽,师范,220.6,
145,河南农业大学,Henan Agricultural University,河南,农业,220.6,
147,重庆邮电大学,Chongqing University of Posts and Telecommunications,重庆,理工,219.3,
147,南通大学,Nantong University,江苏,综合,219.3,
149,广西师范大学,Guangxi Normal University,广西,师范,217.8,
149,浙江农林大学,Zhejiang A&F University,浙江,林业,217.8,
151,齐鲁工业大学,Qilu University of Technology,山东,理工,217.4,
151,中国计量大学,China Jiliang University,浙江,理工,217.4,
153,沈阳农业大学,Shenyang Agricultural University,辽宁,农业,216.5,
154,西北师范大学,Northwest Normal University,甘肃,师范,216,
155,黑龙江大学,Heilongjiang University,黑龙江,综合,215.1,
156,集美大学,Jimei University,福建,综合,215,
157,延边大学,Yanbian University,吉林,综合,214.9,双一流/211
158,天津科技大学,Tianjin University of Science and Technology,天津,理工,214.8,
159,武汉纺织大学,Wuhan Textile University,湖北,理工,214,
160,天津师范大学,Tianjin Normal University,天津,师范,213.5,
161,吉林农业大学,Jilin Agricultural University,吉林,农业,212.7,
162,湖北工业大学,Hubei University of Technology,湖北,理工,211.2,
162,辽宁师范大学,Liaoning Normal University,辽宁,师范,211.2,
164,曲阜师范大学,Qufu Normal University,山东,师范,210.7,
165,常州大学,Changzhou University,江苏,理工,210.1,
166,湖南农业大学,Hunan Agricultural University,湖南,农业,209.9,
167,青岛科技大学,Qingdao University of Science & Technology,山东,理工,209.6,
168,河南师范大学,Henan Normal University,河南,师范,209.2,
169,武汉工程大学,Wuhan Institute of Technology,湖北,理工,209,
170,天津理工大学,Tianjin University of Technology,天津,理工,208.6,
171,上海海事大学,Shanghai Maritime University,上海,综合,207.5,
172,江苏师范大学,Jiangsu Normal University,江苏,师范,207.4,
173,汕头大学,Shantou University,广东,综合,206.9,
174,三峡大学,China Three Gorges University,湖北,综合,205.6,
175,济南大学,University of Jinan,山东,综合,205,
176,河南科技大学,Henan University of Science and Technology,河南,综合,204.4,
177,河北师范大学,Hebei Normal University,河北,师范,204.3,
178,北京建筑大学,Beijing University of Civil Engineering and Architecture,北京,理工,204.1,
179,沈阳航空航天大学,Shenyang Aerospace University,辽宁,理工,202.7,
180,安徽理工大学,Anhui University of Science & Technology,安徽,理工,201.7,
181,南昌航空大学,Nanchang Hangkong University,江西,理工,200.5,
182,北京信息科技大学,Beijing Information Science & Technology University,北京,理工,199.9,
183,桂林电子科技大学,Guilin University of Electronic Technology,广西,理工,199.8,
184,长江大学,Yangtze University,湖北,综合,199.4,
185,国际关系学院,University of International Relations,北京,综合,198.9,
186,西安科技大学,Xi'an University of Science and Technology,陕西,理工,197.6,
187,青岛理工大学,Qingdao University of Technology,山东,理工,197.4,
188,上海电力大学,Shanghai University of Electric Power,上海,理工,196.4,
189,河北农业大学,Hebei Agricultural University,河北,农业,196.3,
189,湖南科技大学,Hunan University of Science and Technology,湖南,综合,196.3,
191,重庆交通大学,Chongqing Jiaotong University,重庆,理工,195.8,
192,兰州交通大学,Lanzhou Jiaotong University,甘肃,理工,195.6,
193,安徽工业大学,Anhui University of Technology,安徽,理工,195.4,
194,河南理工大学,Henan Polytechnic University,河南,理工,195.2,
194,华东交通大学,East China Jiaotong University,江西,理工,195.2,
196,西安邮电大学,Xi'an University of Posts and Telecommunications,陕西,理工,195,
197,山东理工大学,Shandong University of Technology,山东,理工,194.9,
198,南华大学,University of South China,湖南,综合,194.4,
198,沈阳工业大学,Shenyang University of Technology,辽宁,理工,194.4,
198,云南师范大学,Yunnan Normal University,云南,师范,194.4,
201,西藏大学,Tibet University,西藏,综合,194.3,双一流/211
202,江西理工大学,Jiangxi University of Science and Technology,江西,理工,193.8,
203,青海大学,Qinghai University,青海,综合,193.6,双一流/211
204,兰州理工大学,Lanzhou University of Technology,甘肃,理工,193,
205,西南科技大学,Southwest University of Science and Technology,四川,理工,192.4,
206,西安工业大学,Xi'an Technological University,陕西,理工,191.7,
207,江西农业大学,Jiangxi Agricultural University,江西,农业,190.8,
208,东北电力大学,Northeast Electric Power University,吉林,理工,189.8,
209,四川师范大学,Sichuan Normal University,四川,师范,188.9,
210,河南工业大学,Henan University of Technology,河南,理工,187.4,
211,大连工业大学,Dalian Polytechnic University,辽宁,理工,187,
212,内蒙古农业大学,Inner Mongolia Agricultural University,内蒙古,农业,185.9,
213,东北石油大学,Northeast Petroleum University,黑龙江,理工,185.3,
214,哈尔滨理工大学,Harbin University of Science and Technology,黑龙江,理工,185,
215,重庆师范大学,Chongqing Normal University,重庆,师范,184.6,
216,嘉兴大学,Jiaxing University,浙江,综合,184.2,
217,苏州科技大学,Suzhou University of Science and Technology,江苏,理工,183.7,
218,浙大城市学院,Hangzhou City University,浙江,理工,183.6,
219,中南林业科技大学,Central South University of Forestry & Technology,湖南,林业,183.5,
220,贵州师范大学,Guizhou Normal University,贵州,师范,183.1,
220,内蒙古师范大学,Inner Mongolia Normal University,内蒙古,师范,183.1,
222,沈阳建筑大学,Shenyang Jianzhu University,辽宁,理工,182.9,
223,哈尔滨师范大学,Harbin Normal University,黑龙江,师范,182.1,
224,烟台大学,Yantai University,山东,综合,181.5,
