排名,学校中文名,学校英文名,省份,类型,总分,标签
450,宁德师范学院,Ningde Normal University,福建,师范,121.2,
450,西昌学院,Xichang University,四川,综合,121.2,
454,河南城建学院,Henan University of Urban Construction,河南,理工,120.9,
455,黑龙江工程学院,Heilongjiang Institute of Technology,黑龙江,理工,120.6,
455,湖南文理学院,Hunan University of Arts and Science,湖南,综合,120.6,
457,上饶师范学院,Shangrao Normal University,江西,师范,120.5,
458,内蒙古科技大学包头师范学院,Baotou Teachers' College,内蒙古,综合,120.4,
459,通化师范学院,Tonghua Normal University,吉林,师范,120.3,
460,济宁学院,Jining University,山东,师范,120.2,
460,渭南师范学院,Weinan Normal University,陕西,师范,120.2,
462,湖南科技学院,Hunan University of Science and Engineering,湖南,综合,120.1,
463,海南热带海洋学院,Hainan Tropical Ocean University,海南,综合,119.9,
463,湖南城市学院,Hunan City University,湖南,综合,119.9,
465,齐鲁师范学院,Qilu Normal University,山东,师范,119.8,
466,廊坊师范学院,Langfang Normal University,河北,师范,119.4,
467,玉溪师范学院,Yuxi Normal University,云南,师范,119.1,
468,牡丹江师范学院,Mudanjiang Normal University,黑龙江,师范,119,
469,哈尔滨学院,Harbin University,黑龙江,综合,118.8,
470,山西大同大学,Shanxi Datong University,山西,综合,118.7,
471,湖南工学院,Hunan Institute of Technology,湖南,理工,118.6,
472,韩山师范学院,Hanshan Normal University,广东,师范,118.3,
473,九江学院,Jiujiang University,江西,综合,118.2,
474,太原工业学院,Taiyuan Institute of Technology,山西,理工,118,
475,宿迁学院,Suqian University,江苏,综合,117.8,
476,陇东学院,Longdong University,甘肃,师范,117.6,
477,福建技术师范学院,Fujian Polytechnic Normal University,福建,师范,117.4,
478,鞍山师范学院,Anshan Normal University,辽宁,师范,117.3,
479,巢湖学院,Chaohu University,安徽,师范,117.2,
480,山东青年政治学院,Shandong Youth University of Political Science,山东,综合,117.1,
481,黄山学院,Huangshan University,安徽,师范,117,
482,吉林工程技术师范学院,Jilin Engineering Normal University,吉林,师范,116.8,
483,河北民族师范学院,Hebei Minzu Normal University,河北,师范,116.4,
483,四川旅游学院,Sichuan Tourism University,四川,综合,116.4,
485,山东女子学院,Shandong Women's University,山东,综合,116.3,
486,山东管理学院,Shandong Management University,山东,综合,116,
486,咸阳师范学院,Xianyang Normal University,陕西,师范,116,
488,吉林农业科技学院,Jilin Agricultural Science and Technology University,吉林,农业,115.9,
489,兰州城市学院,Lanzhou City University,甘肃,综合,115.6,
490,湖南人文科技学院,"Hunan University of Humanities, Science and Technology",湖南,师范,115.5,
490,宿州学院,Suzhou University,安徽,师范,115.5,
492,安阳工学院,Anyang Institute of Technology,河南,理工,115.3,
493,凯里学院,Kaili University,贵州,综合,115.1,
494,安顺学院,Anshun University,贵州,综合,114.9,
494,长治学院,Changzhi University,山西,师范,114.9,
496,淮南师范学院,Huainan Normal University,安徽,师范,114.1,
497,贺州学院,Hezhou University,广西,综合,114,
498,新乡学院,Xinxiang University,河南,理工,113.9,
499,嘉应学院,Jiaying University,广东,综合,113.7,
500,伊犁师范大学,Yili Normal University,新疆,师范,113.3,
500+,阿坝师范学院,ABA TEACHERS COLLEGE,四川,师范,,
500+,安康学院,Ankang University,陕西,综合,,
500+,白城师范学院,Baicheng Normal University,吉林,师范,,
500+,百色学院,Baise University,广西,综合,,
500+,保定学院,Baoding University,河北,师范,,
500+,保山学院,Baoshan University,云南,师范,,
500+,蚌埠学院,Bengbu University,安徽,理工,,
500+,亳州学院,Bozhou University,安徽,师范,,
500+,沧州师范学院,Cangzhou Normal University,河北,师范,,
500+,昌吉学院,Changji University,新疆,师范,,
500+,长沙工业学院,Changsha Institute of Technology,湖南,师范,,
500+,长沙师范学院,Changsha Normal University,湖南,师范,,
500+,赤峰学院,Chifeng University,内蒙古,综合,,
500+,池州学院,Chizhou University,安徽,师范,,
500+,楚雄师范学院,Chuxiong Normal University,云南,师范,,
500+,大庆师范学院,Daqing Normal University,黑龙江,综合,,
500+,滇西科技师范学院,West Yunnan University,云南,师范,,
500+,滇西应用技术大学,West Yunnan University of Applied Sciences,云南,综合,,
500+,鄂尔多斯应用技术学院,Ordos Institute of Technology,内蒙古,综合,,
500+,赣东学院,Gandong University,江西,理工,,
500+,赣南科技学院,Gannan University of Science and Technology,江西,理工,,
500+,甘肃民族师范学院,Gansu Minzu Normal University,甘肃,师范,,
500+,广西科技师范学院,Guangxi Science & Technology Normal University,广西,师范,,
500+,广西民族师范学院,Guangxi Minzu Normal University,广西,师范,,
500+,广西职业师范学院,Guangxi Vocational Normal University,广西,综合,,
500+,桂林航天工业学院,Guilin University of Aerospace Technology,广西,理工,,
500+,贵州工程应用技术学院,Guizhou University of Engineering Science,贵州,师范,,
500+,邯郸学院,Handan University,河北,师范,,
500+,汉江师范学院,Hanjiang Normal University,湖北,师范,,
500+,河北环境工程学院,Hebei University of Environmental Engineering,河北,综合,,
500+,河北建筑工程学院,Hebei University of Architecture,河北,理工,,
500+,河北水利电力学院,Hebei University of Water Resources and Electric Engineering,河北,理工,,
500+,河池学院,Hechi University,广西,综合,,
500+,合肥理工学院,Hefei Institute of Technology,安徽,综合,,
500+,黑河学院,Heihe University,黑龙江,综合,,
500+,黑龙江工业学院,Heilongjiang University of Technology,黑龙江,理工,,
500+,河南工学院,Henan Institute of Technology,河南,理工,,
500+,河南牧业经济学院,Henan University of Animal Husbandry and Economy,河南,农业,,
500+,衡水学院,Hengshui University,河北,师范,,
500+,河套学院,Hetao college,内蒙古,综合,,
500+,菏泽学院,Heze University,山东,综合,,
500+,红河学院,Honghe University,云南,综合,,
500+,呼伦贝尔学院,Hulunbuir University,内蒙古,综合,,
500+,荆楚理工学院,Jingchu University of Technology,湖北,理工,,
500+,景德镇学院,Jingdezhen University,江西,综合,,
500+,集宁师范学院,Jining Normal University,内蒙古,师范,,
500+,晋中学院,Jinzhong University,山西,师范,,
500+,喀什大学,Kashi University,新疆,师范,,
500+,兰州工业学院,Lanzhou Institute of Technology,甘肃,理工,,
500+,兰州文理学院,Lanzhou University of Arts and Science,甘肃,综合,,
500+,辽东学院,Liaodong University,辽宁,综合,,
500+,辽宁科技学院,Liaoning Institute of Science and Technology,辽宁,理工,,
500+,吕梁学院,Lyuliang University,山西,师范,,
500+,萍乡学院,Pingxiang University,江西,综合,,
500+,普洱学院,Pu'er University,云南,师范,,
500+,琼台师范学院,Qiongtai Normal University,海南,师范,,
500+,山东农业工程学院,Shandong Agriculture and Engineering University,山东,综合,,
500+,山东石油化工学院,SHANDONG INSTITUTE OF PETROLEUM AND CHEMICAL TECHNOLOGY,山东,理工,,
500+,商洛学院,Shangluo University,陕西,综合,,
500+,山西电子科技学院,Shanxi University of Electronic Science and Technology,山西,理工,,
500+,山西工程技术学院,Shanxi Institute of Technology,山西,理工,,
500+,山西工学院,SHANXI COLLEGE OF TECHNOLOGY,山西,理工,,
500+,山西科技学院,Shanxi Institute of Science and Technology,山西,理工,,
500+,山西能源学院,Shanxi Institute of Energy,山西,综合,,
500+,陕西学前师范学院,Shaanxi Xueqian Normal University,陕西,师范,,
500+,绍兴理工学院,Shaoxing Institute of Technology,浙江,师范,,
500+,四川民族学院,Sichuan Minzu College,四川,师范,,
500+,四川文理学院,Sichuan University of Arts and Science,四川,综合,,
500+,绥化学院,Suihua University,黑龙江,综合,,
500+,太原学院,Taiyuan University,山西,理工,,
500+,泰州学院,Taizhou University,江苏,师范,,
500+,唐山学院,Tangshan University,河北,理工,,
500+,天津中德应用技术大学,Tianjin Sino-German University of Applied Sciences,天津,理工,,
500+,文山学院,Wenshan University,云南,师范,,
500+,梧州学院,Wuzhou University,广西,综合,,
500+,邢台学院,Xingtai University,河北,师范,,
500+,兴义民族师范学院,Minzu Normal University of Xingyi,贵州,师范,,
500+,新疆工程学院,Xinjiang Institute of Engineering,新疆,理工,,
500+,新疆理工学院,Xinjiang Institute of Technology,新疆,综合,,
500+,新疆政法学院,Xinjiang University of Political Science And Law,新疆,综合,,
500+,信阳农林学院,Xinyang Agriculture and Forestry University,河南,农业,,
500+,新余学院,Xinyu University,江西,综合,,
500+,忻州师范学院,Xinzhou Teachers University,山西,师范,,
500+,营口理工学院,YingKou Institute of Technology,辽宁,理工,,
500+,运城学院,Yuncheng University,山西,综合,,
500+,豫章师范学院,Yuzhang Normal University,江西,师范,,
500+,张家口学院,Zhangjiakou University,河北,综合,,
500+,昭通学院,Zhaotong University,云南,师范,,
500+,郑州工程技术学院,Zhengzhou University of Technology,河南,理工,,
500+,郑州师范学院,Zhengzhou Normal University,河南,师范,,
